stationId,stationName,latitude,longitude
ST-242,526. 용답토속공원 앞,37.56351089,127.05672455
ST-243,529. 장한평역 8번 출구 앞,37.56137085,127.06365967
ST-244,530. 청계벽산아파트 앞,37.56874847,127.03040314
ST-245,533. 금남시장 교차로,37.54814911,127.02108765
ST-246,534. 금호사거리,37.54863358,127.02572632
ST-247,535. 응봉삼거리,37.55398560,127.03359222
ST-248,536. 행당역 2번출구 앞,37.55735016,127.02921295
ST-249,537. 한양대후문역 부근,37.56035614,127.04139709
ST-250,538. 답십리역 8번출구 앞,37.56764984,127.05115509
ST-252,539. 군자교교차로,37.55979538,127.07420349
ST-253,540. 군자역 7번출구 베스트샵 앞,37.55603027,127.07864380
ST-254,542. 강변역 4번출구 뒤,37.53582382,127.09416199
ST-255,543. 구의공원(테크노마트 앞),37.53596878,127.09467316
ST-256,544. 광남중학교,37.54072952,127.10290527
ST-257,546. 잠실대교북단 교차로,37.53247833,127.08509064
ST-258,548. 자양나들목,37.52976990,127.07485962
ST-259,549. 아차산역 3번출구,37.55122375,127.08970642
ST-251,550. 서울시설공단 앞,37.57164001,127.03565979
ST-377,551. 구의삼성쉐르빌 앞,37.54006195,127.09449768
ST-378,552. 대림아크로리버 앞,37.53657913,127.09297180
ST-379,553. 중곡 성원아파트 앞,37.57125473,127.07980347
ST-381,555. 구의3동주민센터,37.53784943,127.09217072
ST-357,556. 달맞이공원,37.54205322,127.02040100
ST-358,557. 도선동 주민센터 앞,37.56764221,127.02569580
ST-359,558. 성동광진 교육지원청 앞,37.56460571,127.03652191
ST-360,559. 왕십리역 4번 출구 건너편,37.56109619,127.03679657
ST-361,560. 비전교회 앞,37.55120468,127.06893158
ST-362,561. 서울숲역 2번출구 앞,37.54281616,127.04467010
ST-364,563. 성동세무서 건너편,37.54791260,127.06275177
ST-365,564. 금호역 3번출구,37.54792786,127.01557159
ST-366,565. 옥수역 3번출구,37.54136658,127.01776123
ST-369,568. 청계8가 사거리 B,37.57110214,127.02355957
ST-370,569. 응봉현대아파트 정류소,37.54958344,127.03024292
ST-382,571. 세종대학교 대양AI센터,37.55039597,127.07585907
ST-384,573. 구의문주차장 앞,37.54523087,127.08473206
ST-385,574. 아차산역4번출구,37.55184937,127.08898163
ST-386,575. 대원중고교 입구(대하빌딩),37.56429291,127.08693695
ST-387,576. 광나루역 3번 출구,37.54483032,127.10426331
ST-388,577. 광진청소년수련관,37.54654694,127.10613251
ST-371,578. 성동세무서 부근,37.54829025,127.06246185
ST-372,579. 마장역 4번출구,37.56520462,127.04184723
ST-375,582. 경일중학교 앞,37.54317856,127.04907990
ST-376,583. 청계천 생태교실 앞,37.56797028,127.04689026
ST-445,584. 광진광장 교통섬,37.54782867,127.07263184
ST-446,585. 성수2가1동 공영주차장 인근,37.53680801,127.05548859
ST-447,586. 마장동 주민센터,37.56594086,127.04539490
ST-482,587. 유니베라 앞,37.54541779,127.05264282
ST-483,588. 뚝섬 유원지역,37.53268814,127.06749725
ST-506,589. 성수역3번출구,37.54415894,127.05665588
ST-972,590. 건국대학교 (입학정보관),37.53989029,127.07336426
ST-973,591. 건국대학교 (행정관),37.54277802,127.07537079
ST-974,592. 건국대학교 학생회관,37.54191208,127.07763672
ST-980,593.자양중앙나들목,37.52845383,127.07803345
ST-967,594. 중랑물재생센터(서울새활용플라자),37.55830383,127.05805969
ST-260,600. 휘경2동 주민센터,37.58991241,127.06867981
ST-262,602. 장안동 사거리,37.57217407,127.07138824
ST-265,605. 신설동역8번출구,37.57419968,127.02649689
ST-266,606. 휘경공고앞,37.58462524,127.07028961
ST-267,607. 신이문역 2번출구,37.60271072,127.06786346
ST-268,608. 전농삼성아파트,37.58131027,127.05534363
ST-269,609. 제기2교,37.58774567,127.03738403
ST-270,610. 동대문중 교차로,37.57308578,127.05216217
ST-271,612. 시립동부병원 앞 사거리,37.57366562,127.03081512
ST-273,614. 용두동 사거리,37.57768631,127.03101349
ST-274,615. 용두동 래미안허브리츠아파트 앞,37.57638168,127.03511047
ST-275,616. 서울시립대 정문 앞 A,37.58256149,127.05436707
ST-276,617. 청솔우성아파트 앞,37.57420349,127.05769348
ST-389,621. 전농초등학교 건너편,37.57489014,127.05353546
ST-390,622. 전농사거리 교통섬,37.57779312,127.05783081
ST-391,623. 서울시립대 정문 앞 B,37.58369827,127.05385590
ST-392,624. 전농동 동아아파트 앞,37.57418823,127.04589081
ST-394,626. 군자교 서측 녹지대,37.56115341,127.07096863
ST-395,627. 장안동삼거리 교통섬,37.57863235,127.07190704
