26-1,228000378
21-1,228000379
26-2,228000380
21A,228000381
49,228000382
50,228000383
25,228000384
38-14,234001027
14,229000006
19,229000009
8136동서울-송탄,241002910
30-1,229000011
3804천안-이천,241007079
94,229000109
77-1,229000110
3803아산-이천,241002710
10-1,229000113
2100,229000115
77-4,229000119
77-5,229000120
14-3,229000122
14-2,229000123
14C,229000124
27-6,200000275
3300성남-연천,241006953
14-1,229000141
063,229000144
9-2,214000247
12-1,229000014
11-3,229000016
9-1,214000189
50,229000019
91,229000031
35,214000051
999(임시),200000301
51,229000037
400(임시2),200000305
73,229000040
81-2,235000025
1-1,229000047
500,229000048
100-8,229000049
100-94,229000050
100-10,229000051
100-11,229000052
100-88,229000053
100-9,229000054
100-87,229000055
100-86,229000056
100-7,229000057
1-2,229000058
1-3,229000059
27-4,234000547
27-21,234001105
27-10,234001102
550,229000066
77,229000078
6803해운대-동두천,241004590
6802부산-이천,241003940
8369강화-충주,241004480
13-1,230000003
17,214000113
1101,241007204
24-21,230000090
22-5,230000099
23-10,230000108
22-22a,230000109
8550부천-광주,241001050
24,230000121
24-42,230000125
21-7,230000126
24-71,230000133
24-72,230000134
24-21,230000139
22-62,230000141
28-18,230000146
24-13,230000147
217,230000149
219,230000150
203,230000151
201,230000152
202,230000153
206,230000154
211,230000155
212,230000156
216,230000157
234,230000158
235,230000159
205,230000160
231,230000161
232,230000162
233,230000163
242,230000164
243,230000165
245,230000166
246,230000167
247,230000168
248,230000169
251,230000170
252,230000171
253,230000172
272,230000173
273,230000174
208,230000175
21-17,230000177
88,231000009
88-1,231000010
80,228000288
80-1,228000289
80-2,228000290
810,228000291
810-1,228000292
810-2,228000293
11,228000294
15,228000295
17-1,228000297
15-1,228000298
17(B),228000299
14-1,228000300
14,228000301
14-2,228000303
15-3,228000304
1,228000305
16,228000306
5,228000307
82,228000308
2-1,228000309
82-1,228000310
1-1,228000311
60-2,231000036
20-4,231000039
8719수원-예천,241007057
20-7,231000043
8609수원-포항,241007152
8526성남-정읍,241001540
50-4,231000052
50-9,231000055
60-4,231000057
35-1,231000060
3-6,231000066
1,207000016
1304-1동서울-충주,241006941
2-7,231000076
10-1,231000079
10-3,231000080
50-9,214000246
10-5,231000083
5-4,231000084
370-1,231000089
38-2,231000091
2-9,231000095
3007성남-와수리,241006821
2-10,231000104
1303동서울-음성,241006999
2201태백-원주,241002840
1-10,231000112
5-6,231000113
20-5,231000114
60-5,231000115
55-1,231000120
1304동서울-목계-충주,241006942
17-1,231000123
17-2,231000124
5,228000374
3-6,231000127
075,229000147
035,229000151
034내포리,229000153
034축현리,229000154
064쌍둥이,229000155
064재활용,229000156
088중학교,229000157
084,229000159
092-2석장,229000164
092-3장남,229000165
092-3구미,229000166
092-3전동,229000167
092-3원당A,229000168
092-3원당B,229000169
092-3학곡,229000170
092-2백학,229000171
092-3주월,229000172
051,229000173
051B,229000174
052,229000175
050,229000176
058임진각행,229000177
058마정행,229000178
058운천행,229000179
058운천+임진각행,229000180
030탄현A,229000181
032,229000182
030A,229000183
11,232000119
2,200000098
55,200000100
33,223000122
9311인천-제천,241004360
38,234000805
5200,200000111
99번(학통),223000137
40-1,200000121
999-1,200000122
40,200000123
1560-1,200000124
25-1,200000129
303,200000132
33-1,223000121
99,223000120
50-5,215000104
9(학통),223000144
7-1,204000112
13-3,200000143
27-1,200000147
90-5,215000220
3800,200000156
27-5,200000158
8,200000163
81,200000164
1,200000166
99-1,200000172
82,200000176
13-6,200000184
1801,241007205
20-2,200000189
47,200000190
85,200000197
57,200000200
9-2,200000201
62,200000203
53,200000204
3900,200000209
82-8,200000210
4-2,200000212
3000급,200000213
3000전,200000214
3002전,200000215
3003급,200000216
3003전,200000217
3007급,200000218
3007전,200000219
5100급,200000220
5100전,200000221
7000급,200000222
8800전,200000223
5300전,200000224
7770전,200000225
7780전,200000226
3000A,232000093
400-1,200000009
990,200000012
1320남부-두원공대,241007092
2-5,200000017
83,200000021
16-2,200000034
311,200000036
90-1,228000285
5,214000182
1339남부-진천,241007093
24,200000057
45,200000058
36,200000061
58,200000063
26,200000066
63-1,200000067
8513안양-목포,241006500
46-1,200000086
39,200000088
52,200000092
7790급,200000228
7800급,200000229
8800전,200000230
54,200000231
17,200000232
3900전,200000233
90,200000235
34,240000198
63-3,200000238
8222부천-강릉,241001040
22-2,200000240
123,200000241
1,200000243
2,200000244
3,200000245
6,200000246
7,200000247
5,200000248
8354용인-청주,241002030
2-3,200000250
28-17,234001219
21,200000252
25,200000254
25-1,200000257
25-2,200000258
400-5,200000261
5,214000196
2-3,200000264
88,214000225
9701-1안동-인천공항,241007135
787,200000267
77,214000200
123B,200000270
123C,200000271
1005,200000273
1005전,200000276
123C,200000278
2,204000008
310,204000009
15,204000010
88,204000014
55-1,204000015
110,214000011
90-1,215000198
8501수원-여수,241007050
1251,204000035
2003,204000036
9205,241007232
9005,204000042
370,204000045
380,204000049
360,204000050
310,204000052
320,204000053
252,204000062
1121,204000066
280,204000068
8131,204000069
111,207000012
110,204000075
330출,204000077
1002,204000080
3-7,204000090
21,204000093
3-5,204000094
3-6,204000095
7,204000096
7-2,204000097
10,204000098
05,226000024
3-3,204000105
75맞춤형,204000109
25,204000110
602-2A,204000118
602-1C,204000119
2,204000122
1,204000123
19,204000124
71,204000126
21-1,207000061
55-2,207000062
10-2,207000063
10-3,207000067
7-1,207000072
36-1,207000073
11-1,207000074
17,207000075
1-3,207000076
10-5,207000077
7-2,207000078
9,207000079
22,207000082
8-1,207000083
22,207000084
100-1,214000027
10-3,207000086
26,207000089
8-2,207000090
27,207000091
810,204000127
811,204000128
812,204000129
53-10,215000096
260,204000132
누리1-1,204000134
32-1,204000135
232,204000140
081,218000072
080,218000070
231맞춤,204000148
303,206000002
1313서초-천안-유구,241001280
9414,206000005
1151,206000006
1-6,207000010
089,218000073
21,207000015
54-1,215000171
2,207000017
28,207000018
082A,218000071
082B,218000118
63,200000042
50,207000037
51,207000039
55-1,207000041
55,207000042
35-1,207000047
12-3,207000048
30-2,207000055
7800전,200000227
6-1,210000030
70-1,210000031
38-43,234001122
3000금촌-인천,241006030
8634경기광주-창원,241006877
8602의정부-창원,241006849
065-1,229000203
5-6,210000047
15,210000048
3-1,210000050
96,210000053
8530이천-전주,241102280
1713동서울-포항,241000390
3800고양-청주,241000350
96-1,210000070
33,210000071
73-3,235000027
88-1,210000074
8746하남-동대구,241006903
3309당진-제천,241006905
6900동서울-인천공항,241006906
6701,241007129
5,221000030
602-1B,204000117
602-1A,204000116
28,235000102
50,235000100
8911,241004080
5201군산-원주,241004180
9802,241005300
9801,241005320
8471,241005330
1802상봉-여주,241005460
1223동서울-비발디,241005490
1218동서울-춘천,241005500
1204동서울-춘천,241005510
9283인천-춘천,241005540
8226성남-춘천,241005560
2305춘천-천안,241005570
2809춘천-안산,241005590
8254고양-춘천,241005600
8809수원-가평,241005610
61-8,215000106
61-7,215000069
8335수원-아산,241006150
8336안산-서산,241006160
61-5,215000067
61-3,215000065
61-2,215000064
602-2B,204000120
3701,241001210
8446,241001230
8203평택-태백,241006900
8212성남-강릉,241001520
9601부천.인천-창원,241007105
2000-3,240000202
4100-1,241006915
4100-2,241006916
1249동서울-춘천-화천,241006918
1214동서울-성-태백,241006936
1215동서울-영-태백,241006937
1207동서울-춘천-화천,241006939
1305동서울-보령,241006940
9007-1,204000158
8392성남-감곡,241001600
8416,241001620
078,229000146
8302시흥-대전,241001760
3802,241001850
8838아산-이천,241001890
27-3,234000544
27-2,234000542
1322-1,241006947
1325-1,241006948
27-1,234000540
202,233000144
9221인천-원주,241006963
4324고양-부여,241006954
9504인천-진도,241007098
8709성남-안동,241001390
7201서대구-춘천,241007107
31-9,224000005
8393,241006968
8435-1,241006971
1710동서울-온정,241000950
5203순천-춘천,241006989
1227상봉-속초,241006990
1226동서울-횡성,241006993
1229상봉-홍천,241006994
1233상봉-원통,241006996
1234서초-원주,241006997
1306서초-아산,241007000
1335동서울-건국대,241007004
1347-1,241007006
1707서울-풍산,241007009
1725서초-점촌,241007010
083,229000162
151,233000323
3812-1,241001950
2202영월-태백,241001970
013-2,210000084
2300원주-천안,241002130
2302태백-당진,241007012
8508의정부-청주,241002190
38-11,234001592
3210제천-강릉,241007021
M7106,218000012
3404진천-성남,241007029
3807,241007030
3408도고온천-오산,241007031
4204수원-태백,241007033
8215,241007036
4217광명-원주,241007037
8208부천-속초,241007038
8219여주-속초,241007039
8220안양-인제-속초,241007040
3310,241002300
8382이천-무극,241002320
4716이천-문경-은척,241002330
8388장호원-괴산,241002370
8706수원-점촌,241001710
1353,241002650
3302청주-유성-서대전,241002670
4309호평동서울-청주,241007041
8319,241007042
4322호평동서울-보은,241007043
4328평택-제천,241007044
4347부천-논산,241007045
66,216000002
33A,214000252
5000문산-부천,241006040
8141동서울-송탄,241003440
4520호평동서울-여수,241007051
4600안양-울산,241007052
4704오산-안동,241007054
4711의정부-안동,241007056
8311-1,241007064
8312장호원-조치원,241007065
1200,241007068
7800(퇴근예약),200000324
984,234000691
033탄현중,229000184
030B,229000185
033,229000186
030금승A,229000187
037,229000188
037광일중,229000189
080A,229000190
080B,229000191
081,229000192
030탄현B,229000193
030금승B,229000194
061,229000195
062,229000196
062(등교시,229000197
065-1,229000202
053세성,229000204
053마정,229000205
054-1주공,229000206
054-2주공,229000207
054-3한양,229000208
054-4북중,229000209
055마정,229000210
055세성,229000211
055선유,229000212
055월롱,229000213
055임진,229000214
054-5행복,229000215
054-6문산,229000216
054-7한양,229000217
054-8문산,229000218
067,229000219
021,229000220
017,229000221
017-1,229000222
017-2,229000223
017-3,229000224
021-1,229000225
021-2,229000226
091A,229000227
091B,229000228
011,229000229
068,229000230
022,229000231
069,229000232
069등하교,229000233
082-1,229000234
34,223000136
7501,229000245
땡큐70,222000188
20(마산포),233000153
20(어도동내),233000154
20(어도펜션),233000155
시영1(사곳.궁평),233000156
시영1(궁평리),233000157
시영1(궁평.사곳),233000158
시영1(지화2리),233000159
"공영2(송정리,시청,대광1차A)",233000160
"공영2(삼존2,3리,시청,대광1차A)",233000161
"공영2(슬랑2리,금당2리)",233000162
공영2(지화2리),233000163
"시영3(청원3리,삼존2,3리)",233000167
"시영3(삼존2,3리,청원3리)",233000168
"시영3(슬항2리,금당2리)",233000169
시영4(삼존2.3리),233000170
"시영4(도말.고포2,3리)",233000171
"시영4(마산2리.고포2,3리)",233000172
"시영4(돌내,독지2리)",233000173
11,231000129
11,231000131
88,232000001
8450수원-고양,241006120
84,232000012
842,232000013
07,226000016
9-1,232000019
공영(대곶신사거리),232000021
공영(학운리5리),232000022
1330남부-진천,241007003
88-1,232000030
201,232000036
202,232000037
75,204000142
9204,241007197
80,232000051
9004번,232000053
300,232000059
380,232000060
3100,232000062
8329부천-진천,241007150
20,232000074
36,214000050
1352서울-세종,241007226
9-2,232000077
108,219000007
15-4,214000030
8601(예약),232000084
1,227000051
1101서울-담양,241007248
20-1,214000241
30-17,222000204
1-7,231000022
51,235000101
9742인천-포항,241006470
8303부천-증평,241006912
8303-1안양-증평,241007028
58-A,210000098
89-1,236000200
73-2,236000216
9577인천-남원,241006841
100,234001696
22-2,233000071
9553인천-광양,241006978
44,233000082
8449수원-동아대,241001660
333,233000088
333-1,233000089
77-1,233000092
80,233000093
8426김포-수원,241000090
15,224000055
22-3,233000097
79,233000099
11-1,233000104
시영4(솔미.구렛골),233000174
"20-2(신천리,천등리,화석지)",233000175
"20-2(용포리,고정리)",233000176
"20-2용포리,공룡알화석지",233000177
"20-2(신천리,고정리)",233000178
"20-2(용포리,신천리,고정리)",233000179
20-1(백곡리),233000180
8459안산-동아대,241006975
"20-1번(백곡리,고모리,마도)",233000181
20-1(독지2리),233000182
20-3(왕모대),233000184
20-3(왕모대.대광1차A),233000185
20-1(홍법리회관),233000186
시영3(솔미.구렛골),233000187
시영3(장문지화1리),233000188
시영3번(지화2리),233000189
시영4(돌내.형도),233000190
"시영4(형도,고포2,3리)",233000191
